Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
1         ,10        ,001_docked_10.sdf        ,010_docked_4.sdf         ,0.90484        ,0.90484        ,0.90484        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:16,17:21,18:17,19:18,20:20,21:19,22:22,23:23,24:24,25:25,26:26
1         ,11        ,001_docked_10.sdf        ,011_docked_5.sdf         ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:17,16:15,17:22,18:18,19:19,20:20,21:21,22:16,23:23
1         ,12        ,001_docked_10.sdf        ,012_docked_6.sdf         ,0.95123        ,0.95123        ,0.95123        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26
1         ,13        ,001_docked_10.sdf        ,013_docked_7.sdf         ,0.86071        ,0.86071        ,0.86071        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:19,19:20,20:21,21:22,22:23,23:24,24:25,25:26,26:27
1         ,14        ,001_docked_10.sdf        ,014_docked_9.sdf         ,0.95123        ,0.95123        ,0.95123        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,25:25,26:26
2         ,3         ,002_docked_11.sdf        ,003_docked_12.sdf        ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,19:20,20:21,24:24
2         ,4         ,002_docked_11.sdf        ,004_docked_13.sdf        ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:18,18:19,19:20,20:21,21:17,22:22,23:23,24:24
2         ,5         ,002_docked_11.sdf        ,005_docked_14.sdf        ,0.08208        ,0.08208        ,0.08208        ,No        ,6:6,11:11,12:12,13:13,14:14,19:19,20:20,24:23
2         ,6         ,002_docked_11.sdf        ,006_docked_15.sdf        ,0.08208        ,0.08208        ,0.08208        ,No        ,6:6,11:11,12:12,13:13,14:14,19:20,20:19,24:23
2         ,7         ,002_docked_11.sdf        ,007_docked_16.sdf        ,0.06081        ,0.06081        ,0.06081        ,No        ,6:6,11:12,12:11,13:13,14:14,19:21,20:20,24:24
