Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
1         ,9         ,001_docked_11.sdf        ,009_docked_4.sdf         ,0.33287        ,0.33287        ,0.33287        ,No        ,0:1,1:0,2:9,5:21,6:6,7:8,8:7,9:2,10:22,11:11,12:12,13:13,14:14,16:17,17:15,19:20,20:19,21:5,22:10,24:23
1         ,10        ,001_docked_11.sdf        ,010_docked_5.sdf         ,0.86071        ,0.86071        ,0.86071        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:17,17:18,18:19,19:21,20:20,21:22,22:16,24:23
1         ,11        ,001_docked_11.sdf        ,011_docked_6.sdf         ,0.77880        ,0.77880        ,0.77880        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:15,17:18,18:19,19:20,20:21,21:17,22:22,24:23
1         ,12        ,001_docked_11.sdf        ,012_docked_7.sdf         ,0.05502        ,0.05502        ,0.05502        ,No        ,6:6,11:11,12:12,13:13,14:14,19:21,20:22,24:24
1         ,13        ,001_docked_11.sdf        ,013_docked_8.sdf         ,0.22313        ,0.22313        ,0.22313        ,No        ,0:1,1:0,2:9,6:6,7:8,8:7,9:2,10:22,11:11,12:13,13:12,14:14,16:18,17:15,19:21,20:20,21:5,22:10
1         ,14        ,001_docked_11.sdf        ,014_docked_9.sdf         ,0.06081        ,0.06081        ,0.06081        ,No        ,6:6,11:11,12:12,13:13,14:14,19:20,20:21,24:23
1         ,15        ,001_docked_11.sdf        ,015_docked_xtal_1.sdf    ,0.30119        ,0.30119        ,0.30119        ,No        ,0:2,1:1,2:10,5:25,6:7,7:9,8:8,9:3,11:14,12:16,13:15,14:17,16:21,17:0,19:24,20:23,21:6,22:12,24:29
2         ,3         ,002_docked_12.sdf        ,003_docked_13.sdf        ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:23,17:15,18:18,19:19,20:20,21:21,22:17,23:22,24:24
2         ,4         ,002_docked_12.sdf        ,004_docked_14.sdf        ,0.07427        ,0.07427        ,0.07427        ,No        ,6:6,11:11,12:12,13:13,14:14,20:19,21:20,24:23
2         ,5         ,002_docked_12.sdf        ,005_docked_15.sdf        ,0.81873        ,0.81873        ,0.81873        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:17,17:15,18:16,19:18,20:20,21:19,22:21,23:22,24:23
2         ,6         ,002_docked_12.sdf        ,006_docked_16.sdf        ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:23,17:15,18:18,19:19,20:20,21:21,22:17,23:22,24:24
2         ,7         ,002_docked_12.sdf        ,007_docked_2.sdf         ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,17:15,18:18,19:19,20:21,21:20,22:22,23:23,24:24
2         ,8         ,002_docked_12.sdf        ,008_docked_3.sdf         ,0.24660        ,0.24660        ,0.24660        ,No        ,0:1,1:0,2:9,5:23,6:6,7:8,8:7,9:2,11:11,12:12,13:13,14:14,17:19,18:15,20:21,21:22,22:5,23:10,24:24
2         ,9         ,002_docked_12.sdf        ,009_docked_4.sdf         ,0.77880        ,0.77880        ,0.77880        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,17:15,18:17,19:18,20:20,21:19,22:21,23:22,24:23
2         ,10        ,002_docked_12.sdf        ,010_docked_5.sdf         ,0.30119        ,0.30119        ,0.30119        ,No        ,0:1,1:0,2:9,5:22,6:6,7:8,8:7,9:2,11:11,12:12,13:13,14:14,17:18,18:17,20:21,21:20,22:5,23:10,24:23
2         ,11        ,002_docked_12.sdf        ,011_docked_6.sdf         ,0.27253        ,0.27253        ,0.27253        ,No        ,0:1,1:0,2:9,6:6,7:8,8:7,9:2,10:22,11:11,12:12,13:13,14:14,17:18,18:15,20:20,21:21,22:5,23:10,24:23
2         ,12        ,002_docked_12.sdf        ,012_docked_7.sdf         ,0.63763        ,0.63763        ,0.63763        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,17:15,18:19,19:20,20:21,21:22,22:17,23:23,24:24
2         ,13        ,002_docked_12.sdf        ,013_docked_8.sdf         ,0.52205        ,0.52205        ,0.52205        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:13,13:12,14:14,15:16,17:15,18:18,19:19,20:21,21:20,22:17,23:22
2         ,14        ,002_docked_12.sdf        ,014_docked_9.sdf         ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,17:15,18:18,19:19,20:20,21:21,22:17,23:22,24:23
2         ,15        ,002_docked_12.sdf        ,015_docked_xtal_1.sdf    ,0.70469        ,0.70469        ,0.70469        ,No        ,0:1,1:2,2:3,3:4,4:5,5:6,6:7,7:8,8:9,9:10,10:12,11:14,12:16,13:15,14:17,15:13,17:0,18:21,19:22,20:24,21:23,22:25,23:11,24:29
3         ,4         ,003_docked_13.sdf        ,004_docked_14.sdf        ,0.31664        ,0.31664        ,0.31664        ,No        ,1:17,2:3,3:2,4:7,5:5,6:6,7:4,8:18,10:10,11:11,12:12,13:13,14:14,19:8,20:20,21:19,23:22,24:23
3         ,5         ,003_docked_13.sdf        ,005_docked_15.sdf        ,0.33287        ,0.33287        ,0.33287        ,No        ,2:2,3:3,4:4,5:5,6:6,7:7,10:10,11:12,12:11,13:13,14:14,16:17,19:18,20:20,21:19,24:23
3         ,6         ,003_docked_13.sdf        ,006_docked_16.sdf        ,0.77880        ,0.77880        ,0.77880        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,16:16,17:17,18:18,19:19,20:20,21:21,22:22,23:23,24:24,28:27,29:28
3         ,7         ,003_docked_13.sdf        ,007_docked_2.sdf         ,0.28650        ,0.28650        ,0.28650        ,No        ,2:2,3:3,4:4,5:5,6:6,7:7,10:10,11:11,12:12,13:13,14:14,16:16,19:19,20:21,21:20,24:24
3         ,8         ,003_docked_13.sdf        ,008_docked_3.sdf         ,0.04505        ,0.04505        ,0.04505        ,No        ,6:6,11:11,12:12,13:13,14:14,20:21,21:22,24:24
3         ,9         ,003_docked_13.sdf        ,009_docked_4.sdf         ,0.31664        ,0.31664        ,0.31664        ,No        ,2:2,3:3,4:4,5:5,6:6,7:7,10:10,11:11,12:12,13:13,14:14,16:16,19:18,20:20,21:19,24:23
3         ,10        ,003_docked_13.sdf        ,010_docked_5.sdf         ,0.05502        ,0.05502        ,0.05502        ,No        ,6:6,11:11,12:12,13:13,14:14,20:21,21:20,24:23
3         ,11        ,003_docked_13.sdf        ,011_docked_6.sdf         ,0.04979        ,0.04979        ,0.04979        ,No        ,6:6,11:11,12:12,13:13,14:14,20:20,21:21,24:23
3         ,12        ,003_docked_13.sdf        ,012_docked_7.sdf         ,0.81873        ,0.81873        ,0.81873        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:19,19:20,20:21,21:22,22:23,24:24,25:27,26:26,27:25,28:18
3         ,13        ,003_docked_13.sdf        ,013_docked_8.sdf         ,0.24660        ,0.24660        ,0.24660        ,No        ,2:2,3:3,4:4,5:5,6:6,7:7,10:10,11:11,12:13,13:12,14:14,16:16,17:17,19:19,20:21,21:20,29:8
3         ,14        ,003_docked_13.sdf        ,014_docked_9.sdf         ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,16:16,17:17,18:18,19:19,20:20,21:21,22:22,24:23,28:27,29:28
3         ,15        ,003_docked_13.sdf        ,015_docked_xtal_1.sdf    ,0.28650        ,0.28650        ,0.28650        ,No        ,2:3,3:4,4:5,5:6,6:7,7:8,10:12,11:14,12:16,13:15,14:17,16:13,19:22,20:24,21:23,24:29
4         ,5         ,004_docked_14.sdf        ,005_docked_15.sdf        ,0.09072        ,0.09072        ,0.09072        ,No        ,6:6,11:12,12:11,13:13,14:14,19:20,20:19,23:23
4         ,6         ,004_docked_14.sdf        ,006_docked_16.sdf        ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,19:20,20:21,23:24
4         ,7         ,004_docked_14.sdf        ,007_docked_2.sdf         ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,19:21,20:20,23:24
4         ,8         ,004_docked_14.sdf        ,008_docked_3.sdf         ,0.60653        ,0.60653        ,0.60653        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:19,17:16,18:20,19:22,20:21,21:17,23:24
4         ,9         ,004_docked_14.sdf        ,009_docked_4.sdf         ,0.07427        ,0.07427        ,0.07427        ,No        ,6:6,11:11,12:12,13:13,14:14,19:20,20:19,23:23
4         ,10        ,004_docked_14.sdf        ,010_docked_5.sdf         ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:17,16:18,17:15,18:19,19:20,20:21,21:16,23:23
