('7aaa', '7aaf'): 0.81873
('7aaa', '7aal'): 0.95123
('7aaa', '7aam'): 0.90484
('7aaa', '7aba'): 0.90484
('7aaa', '7aga'): 0.81873
('7aaa', '7aha'): 0.67032
('7aaa', '7aia'): 0.95123
('7aab', '7aea'): 0.81873
('7aab', '7ahb'): 0.67032
('7aac', '7aam'): 0.54881
('7aac', '7dfc'): 0.74082
('7aad', '7aai'): 0.67032
('7aad', '7aaj'): 0.81873
('7aaf', '7aai'): 0.81873
('7aag', '7aaj'): 0.74082
('7aah', '7aaj'): 0.67032
('7aaj', '7aak'): 0.90484
('7aaj', '7aam'): 0.90484
('7aak', '7aam'): 0.95123
('7aal', '7aia'): 0.90484
('7aba', '7aca'): 0.89137
('7aba', '7ada'): 0.95123
('7aba', '7dba'): 0.90484
('7aba', '7dfa'): 0.81873
('7aba', '7fba'): 0.81873
('7aca', '7aea'): 0.86071
('7ada', '7dda'): 0.90484
('7aea', '7dba'): 0.87372
('7aga', '7dga'): 0.90484
('7aha', '7ahb'): 0.90484
('7aha', '7bha'): 0.90484
('7aha', '7cha'): 0.90484
('7aha', '7dha'): 0.90484
('7ahb', '7bhb'): 0.90484
('7ahb', '7dhb'): 0.90484
('7ahb', '7fhb'): 0.81873
('7bba', '7cba'): 0.98511
('7bba', '7dba'): 0.96561
('7bha', '7cha'): 0.98511
('7bhb', '7dhb'): 0.96561
('7bhb', '7fhb'): 0.89137
('7cba', '7cfa'): 0.90484
('7cba', '7dba'): 0.98511
('7cfa', '7dfa'): 0.98511
('7cha', '7dha'): 0.98511
('7dba', '7dda'): 0.95123
('7dba', '7dea'): 0.96561
('7dba', '7dfm'): 0.81873
('7dea', '7dga'): 0.74082
('7dfa', '7dfn'): 0.90484
('7dfa', '7efa'): 0.70469
('7dfc', '7dfm'): 0.54881
('7dfm', '7dfo'): 0.67032
('7dfn', '7dfo'): 0.67032
('7eba', '7efa'): 0.90484
('7eba', '7fba'): 0.74082
